entry_ts_ms,entry_t,exit_t,side,entry_price,exit_price,gross_pnl,net_pnl,net_bps,win,signal
1779504329414,29760,30060,short,84.46700286865234,84.7229995727539,-0.2559967041015625,-0.5099097061157226,-60.36791750603974,0,0.04995470866560936
1779504374848,29768,30068,short,84.427001953125,84.73899841308594,-0.3119964599609375,-0.5659014587402345,-67.0284915546842,0,0.03996856510639191
1779504402027,29770,30070,short,84.43499755859375,84.73600006103516,-0.30100250244140625,-0.5549095001220703,-65.72031931865578,0,0.03627583384513855
1779504433905,29772,30072,short,84.44400024414062,84.72100067138672,-0.27700042724609375,-0.5308864288330077,-62.86846043509701,0,0.036751020699739456
1779504490653,29774,30074,short,84.44400024414062,84.71499633789062,-0.27099609375,-0.5248700866699219,-62.155995115394994,0,0.046161167323589325
1779504547436,29780,30080,short,84.46099853515625,84.72899627685547,-0.26799774169921875,-0.5219167327880859,-61.79381511465816,0,0.04458964616060257
1779504567493,29782,30082,short,84.46600341796875,84.72899627685547,-0.26299285888671875,-0.5169168548583984,-61.19821394893095,0,0.04895374923944473
1779504571945,29784,30084,short,84.49199676513672,84.74700164794922,-0.2550048828125,-0.5089908828735352,-60.241313066417696,0,0.03894178569316864
1779504600849,29786,30086,short,84.49199676513672,84.74700164794922,-0.2550048828125,-0.5089908828735352,-60.241313066417696,0,0.037740256637334824
1779504600849,29787,30087,short,84.49199676513672,84.74700164794922,-0.2550048828125,-0.5089908828735352,-60.241313066417696,0,0.041433751583099365
1779504621531,29788,30088,short,84.49700164794922,84.74700164794922,-0.25,-0.5039910049438476,-59.64602235753767,0,0.02485455758869648
1779504626299,29789,30089,short,84.46700286865234,84.74700164794922,-0.279998779296875,-0.5339597854614258,-63.21519259914342,0,0.04051990807056427
1779504629121,29790,30090,short,84.46800231933594,84.71099853515625,-0.2429962158203125,-0.4968862152099609,-58.82537784325184,0,0.03076418675482273
1779504629121,29791,30091,short,84.46800231933594,84.7030029296875,-0.2350006103515625,-0.4888746185302735,-57.87690073242836,0,0.04275530204176903
1779504658051,29792,30092,short,84.46800231933594,84.7030029296875,-0.2350006103515625,-0.4888746185302735,-57.87690073242836,0,0.04082874953746796
1779504673557,29793,30093,short,84.48200225830078,84.71900177001953,-0.23699951171875,-0.49091951751708984,-58.10936109399023,0,0.047330591827631
1779504673557,29794,30094,short,84.48200225830078,84.74700164794922,-0.2649993896484375,-0.5189753952026367,-61.43029063348753,0,0.042341381311416626
1779504682162,29795,30095,short,84.4990005493164,84.74700164794922,-0.2480010986328125,-0.5019941024780273,-59.408288762545425,0,0.038993675261735916
1779504689238,29796,30096,short,84.4990005493164,84.7300033569336,-0.2310028076171875,-0.4849618148803711,-57.39260958445673,0,0.030653398483991623
1779504700887,29797,30097,short,84.4990005493164,84.7300033569336,-0.2310028076171875,-0.4849618148803711,-57.39260958445673,0,0.043018877506256104
1779504700887,29798,30098,short,84.4990005493164,84.7300033569336,-0.2310028076171875,-0.4849618148803711,-57.39260958445673,0,0.02817571721971035
1779504720511,29799,30099,short,84.48100280761719,84.7300033569336,-0.24900054931640625,-0.5029415588378906,-59.53309526677909,0,0.04565735161304474
1779504724901,29800,30100,short,84.46800231933594,84.7300033569336,-0.26200103759765625,-0.5159290466308594,-61.0798210522798,0,0.02786797098815441
1779504744317,29801,30101,short,84.47699737548828,84.7300033569336,-0.2530059814453125,-0.506942985534668,-60.009588560703484,0,0.0459379144012928
1779504753379,29802,30102,short,84.48699951171875,84.7300033569336,-0.24300384521484375,-0.4969508514404297,-58.819801189826876,0,0.03234608471393585
1779504756678,29803,30103,short,84.49099731445312,84.7300033569336,-0.23900604248046875,-0.4929570465087891,-58.344328055938725,0,0.0386185497045517
1779504766340,29804,30104,short,84.49099731445312,84.73300170898438,-0.24200439453125,-0.4959613952636719,-58.69991017123811,0,0.028070107102394104
